impact,status,family,tokens,slug,sample_url
7,GAP,A_geo_cat_intent,america twerk near-me,america-twerk-near-me,/america-twerk-near-me.html
7,GAP,A_geo_cat_intent,california twerk near-me,california-twerk-near-me,/california-twerk-near-me.html
7,GAP,A_geo_cat_intent,los-angeles twerk near-me,los-angeles-twerk-near-me,/los-angeles-twerk-near-me.html
7,GAP,A_geo_cat_intent,miami twerk near-me,miami-twerk-near-me,/miami-twerk-near-me.html
7,GAP,A_geo_cat_intent,new-york twerk near-me,new-york-twerk-near-me,/new-york-twerk-near-me.html
7,GAP,A_geo_cat_intent,united-states twerk near-me,united-states-twerk-near-me,/united-states-twerk-near-me.html
7,GAP,A_geo_cat_intent,usa twerk near-me,usa-twerk-near-me,/usa-twerk-near-me.html
6,GAP,A_geo_cat_intent,america twerk classes,america-twerk-classes,/america-twerk-classes.html
6,NEAR,A_geo_cat_intent,america twerk dancers,america-twerk-dancers,/america-twerk-dancers.html
6,NEAR,A_geo_cat_intent,america twerk studios,america-twerk-studios,/america-twerk-studios.html
6,NEAR,A_geo_cat_intent,america twerk tutorial,america-twerk-tutorial,/america-twerk-tutorial.html
6,GAP,A_geo_cat_intent,atlanta twerk near-me,atlanta-twerk-near-me,/atlanta-twerk-near-me.html
6,GAP,A_geo_cat_intent,birmingham twerk near-me,birmingham-twerk-near-me,/birmingham-twerk-near-me.html
6,GAP,A_geo_cat_intent,britain twerk near-me,britain-twerk-near-me,/britain-twerk-near-me.html
6,GAP,A_geo_cat_intent,california twerk classes,california-twerk-classes,/california-twerk-classes.html
6,NEAR,A_geo_cat_intent,california twerk dancers,california-twerk-dancers,/california-twerk-dancers.html
6,NEAR,A_geo_cat_intent,california twerk studios,california-twerk-studios,/california-twerk-studios.html
6,NEAR,A_geo_cat_intent,california twerk tutorial,california-twerk-tutorial,/california-twerk-tutorial.html
6,GAP,A_geo_cat_intent,chicago twerk near-me,chicago-twerk-near-me,/chicago-twerk-near-me.html
6,GAP,A_geo_cat_intent,dallas twerk near-me,dallas-twerk-near-me,/dallas-twerk-near-me.html
6,GAP,A_geo_cat_intent,england twerk near-me,england-twerk-near-me,/england-twerk-near-me.html
6,GAP,A_geo_cat_intent,houston twerk near-me,houston-twerk-near-me,/houston-twerk-near-me.html
6,GAP,A_geo_cat_intent,japan twerk near-me,japan-twerk-near-me,/japan-twerk-near-me.html
6,GAP,A_geo_cat_intent,jp twerk near-me,jp-twerk-near-me,/jp-twerk-near-me.html
6,GAP,A_geo_cat_intent,kyoto twerk near-me,kyoto-twerk-near-me,/kyoto-twerk-near-me.html
6,NEAR,A_geo_cat_intent,la twerk near-me,la-twerk-near-me,/la-twerk-near-me.html
6,GAP,A_geo_cat_intent,liverpool twerk near-me,liverpool-twerk-near-me,/liverpool-twerk-near-me.html
6,GAP,A_geo_cat_intent,london twerk near-me,london-twerk-near-me,/london-twerk-near-me.html
6,GAP,A_geo_cat_intent,los-angeles twerk classes,los-angeles-twerk-classes,/los-angeles-twerk-classes.html
6,NEAR,A_geo_cat_intent,los-angeles twerk dancers,los-angeles-twerk-dancers,/los-angeles-twerk-dancers.html
